x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.0050	0.9960	0.9959	0.9949	0.9662	0.7716	0.6961	0.0041	0.0053	0.0613	0.7138	0.9666	
0.0101	0.9916	0.9914	0.9892	0.9308	0.6310	0.5340	0.0086	0.0110	0.1122	0.7739	0.9746	
0.0151	0.9870	0.9869	0.9835	0.9106	0.5968	0.5120	0.0131	0.0169	0.1363	0.7867	0.9758	
0.0201	0.9825	0.9823	0.9776	0.8959	0.5868	0.5070	0.0177	0.0229	0.1532	0.7914	0.9763	
0.0251	0.9781	0.9778	0.9720	0.8838	0.5798	0.5044	0.0223	0.0286	0.1669	0.7948	0.9766	
0.0302	0.9737	0.9733	0.9667	0.8733	0.5742	0.5023	0.0267	0.0341	0.1787	0.7976	0.9768	
0.0352	0.9695	0.9690	0.9615	0.8640	0.5694	0.5006	0.0310	0.0393	0.1891	0.8002	0.9771	
0.0402	0.9654	0.9648	0.9566	0.8555	0.5652	0.4990	0.0353	0.0444	0.1985	0.8025	0.9773	
0.0452	0.9613	0.9607	0.9518	0.8476	0.5613	0.4975	0.0394	0.0493	0.2073	0.8046	0.9775	
0.0503	0.9574	0.9567	0.9471	0.8403	0.5578	0.4961	0.0434	0.0540	0.2154	0.8066	0.9777	
0.0553	0.9535	0.9527	0.9426	0.8334	0.5544	0.4948	0.0474	0.0586	0.2230	0.8085	0.9779	
0.0603	0.9498	0.9489	0.9382	0.8268	0.5513	0.4935	0.0512	0.0631	0.2302	0.8104	0.9781	
0.0653	0.9461	0.9451	0.9339	0.8206	0.5484	0.4922	0.0550	0.0674	0.2371	0.8121	0.9783	
0.0704	0.9424	0.9414	0.9298	0.8146	0.5456	0.4910	0.0587	0.0717	0.2436	0.8138	0.9785	
0.0754	0.9389	0.9378	0.9257	0.8089	0.5429	0.4898	0.0624	0.0758	0.2499	0.8154	0.9786	
0.0804	0.9354	0.9342	0.9217	0.8033	0.5404	0.4886	0.0659	0.0799	0.2560	0.8169	0.9788	
0.0854	0.9319	0.9307	0.9178	0.7980	0.5379	0.4875	0.0694	0.0838	0.2619	0.8185	0.9790	
0.0905	0.9286	0.9273	0.9140	0.7929	0.5356	0.4864	0.0729	0.0877	0.2675	0.8199	0.9792	
0.0955	0.9252	0.9239	0.9102	0.7879	0.5333	0.4853	0.0763	0.0915	0.2730	0.8214	0.9793	
