x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.2513	0.0006	0.3937	0.4807	0.4206	0.4066	0.4075	0.6537	0.5924	0.7788	0.9648	0.9963	
0.2563	0.0000	0.1553	0.4582	0.4159	0.4049	0.4061	0.9077	0.6226	0.7843	0.9656	0.9964	
0.2613	0.0000	0.0025	0.4335	0.4113	0.4032	0.4048	0.9990	0.6560	0.7899	0.9664	0.9965	
0.2663	0.0000	0.0000	0.4062	0.4066	0.4016	0.4034	1.0000	0.6930	0.7955	0.9673	0.9965	
0.2714	0.0000	0.0000	0.3759	0.4019	0.3999	0.4021	1.0000	0.7340	0.8010	0.9681	0.9966	
0.2764	0.0000	0.0000	0.3423	0.3973	0.3983	0.4008	1.0000	0.7794	0.8066	0.9689	0.9967	
0.2814	0.0000	0.0000	0.3047	0.3926	0.3966	0.3994	1.0000	0.8295	0.8122	0.9697	0.9968	
0.2864	0.0000	0.0000	0.2628	0.3879	0.3950	0.3981	1.0000	0.8846	0.8178	0.9705	0.9969	
0.2915	0.0000	0.0000	0.2086	0.3833	0.3934	0.3968	1.0000	0.9446	0.8234	0.9713	0.9970	
0.2965	0.0000	0.0000	0.0756	0.3786	0.3918	0.3955	1.0000	0.9919	0.8290	0.9721	0.9971	
0.3015	0.0000	0.0000	0.0012	0.3739	0.3902	0.3942	1.0000	0.9999	0.8346	0.9729	0.9971	
0.3065	0.0000	0.0000	0.0000	0.3693	0.3886	0.3929	1.0000	1.0000	0.8402	0.9737	0.9972	
0.3116	0.0000	0.0000	0.0000	0.3646	0.3870	0.3916	1.0000	1.0000	0.8459	0.9745	0.9973	
0.3166	0.0000	0.0000	0.0000	0.3599	0.3854	0.3904	1.0000	1.0000	0.8516	0.9753	0.9974	
0.3216	0.0000	0.0000	0.0000	0.3552	0.3838	0.3891	1.0000	1.0000	0.8572	0.9760	0.9975	
0.3266	0.0000	0.0000	0.0000	0.3505	0.3823	0.3878	1.0000	1.0000	0.8629	0.9768	0.9976	
0.3317	0.0000	0.0000	0.0000	0.3458	0.3807	0.3866	1.0000	1.0000	0.8687	0.9776	0.9976	
0.3367	0.0000	0.0000	0.0000	0.3410	0.3792	0.3853	1.0000	1.0000	0.8744	0.9784	0.9977	
0.3417	0.0000	0.0000	0.0000	0.3363	0.3776	0.3841	1.0000	1.0000	0.8802	0.9791	0.9978	
0.3467	0.0000	0.0000	0.0000	0.3315	0.3761	0.3828	1.0000	1.0000	0.8859	0.9799	0.9979	
0.3518	0.0000	0.0000	0.0000	0.3267	0.3746	0.3816	1.0000	1.0000	0.8917	0.9807	0.9980	
0.3568	0.0000	0.0000	0.0000	0.3219	0.3731	0.3803	1.0000	1.0000	0.8976	0.9814	0.9980	
0.3618	0.0000	0.0000	0.0000	0.3171	0.3715	0.3791	1.0000	1.0000	0.9034	0.9822	0.9981	
0.3668	0.0000	0.0000	0.0000	0.3123	0.3700	0.3779	1.0000	1.0000	0.9093	0.9829	0.9982	
0.3719	0.0000	0.0000	0.0000	0.3075	0.3685	0.3766	1.0000	1.0000	0.9152	0.9837	0.9983	
0.3769	0.0000	0.0000	0.0000	0.3026	0.3670	0.3754	1.0000	1.0000	0.9211	0.9844	0.9984	
0.3819	0.0000	0.0000	0.0000	0.2977	0.3655	0.3741	1.0000	1.0000	0.9270	0.9852	0.9984	
0.3869	0.0000	0.0000	0.0000	0.2928	0.3640	0.3729	1.0000	1.0000	0.9330	0.9859	0.9985	
0.3920	0.0000	0.0000	0.0000	0.2879	0.3625	0.3717	1.0000	1.0000	0.9390	0.9867	0.9986	
0.3970	0.0000	0.0000	0.0000	0.2829	0.3610	0.3704	1.0000	1.0000	0.9450	0.9874	0.9987	
0.4020	0.0000	0.0000	0.0000	0.2779	0.3595	0.3692	1.0000	1.0000	0.9511	0.9881	0.9987	
0.4070	0.0000	0.0000	0.0000	0.2729	0.3580	0.3679	1.0000	1.0000	0.9571	0.9889	0.9988	
0.4121	0.0000	0.0000	0.0000	0.2678	0.3565	0.3667	1.0000	1.0000	0.9633	0.9896	0.9989	
0.4171	0.0000	0.0000	0.0000	0.2628	0.3550	0.3654	1.0000	1.0000	0.9694	0.9903	0.9990	
