x	S(x),tau=0(buckley)	S(x),tau=0.001	S(x),tau=0.01	S(x),tau=0.1	S(x),tau=1.0	S(x),tau=10.0	xi(x),tau=0.001	xi(x),tau=0.01	xi(x),tau=0.1	xi(x),tau=1.0	xi(x),tau=10.0	
0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
0.0050	0.9824	0.9812	0.9525	0.8011	0.6998	0.6860	0.0190	0.0571	0.5385	0.9371	0.9935	
0.0101	0.9630	0.9612	0.9140	0.6562	0.5376	0.5201	0.0392	0.1000	0.6375	0.9528	0.9951	
0.0151	0.9442	0.9412	0.8840	0.6239	0.5096	0.4960	0.0594	0.1328	0.6622	0.9563	0.9955	
0.0201	0.9272	0.9231	0.8587	0.6023	0.4993	0.4884	0.0776	0.1603	0.6793	0.9584	0.9957	
0.0251	0.9117	0.9064	0.8364	0.5852	0.4916	0.4823	0.0945	0.1845	0.6933	0.9601	0.9959	
0.0302	0.8972	0.8907	0.8162	0.5706	0.4850	0.4768	0.1103	0.2065	0.7055	0.9616	0.9960	
0.0352	0.8836	0.8759	0.7974	0.5576	0.4791	0.4717	0.1253	0.2270	0.7165	0.9630	0.9962	
0.0402	0.8707	0.8617	0.7797	0.5459	0.4737	0.4670	0.1396	0.2463	0.7268	0.9644	0.9963	
0.0452	0.8584	0.8481	0.7628	0.5350	0.4687	0.4626	0.1533	0.2648	0.7364	0.9656	0.9965	
0.0503	0.8465	0.8348	0.7466	0.5249	0.4639	0.4584	0.1667	0.2828	0.7455	0.9668	0.9966	
0.0553	0.8351	0.8218	0.7307	0.5153	0.4593	0.4543	0.1798	0.3006	0.7543	0.9680	0.9967	
0.0603	0.8240	0.8090	0.7150	0.5062	0.4550	0.4504	0.1928	0.3182	0.7627	0.9691	0.9968	
0.0653	0.8132	0.7962	0.6995	0.4975	0.4508	0.4467	0.2058	0.3359	0.7709	0.9702	0.9969	
0.0704	0.8025	0.7834	0.6839	0.4892	0.4468	0.4431	0.2188	0.3538	0.7789	0.9713	0.9970	
0.0754	0.7920	0.7704	0.6682	0.4812	0.4428	0.4396	0.2320	0.3721	0.7866	0.9723	0.9971	
0.0804	0.7815	0.7572	0.6522	0.4734	0.4390	0.4361	0.2454	0.3908	0.7942	0.9733	0.9973	
0.0854	0.7710	0.7436	0.6360	0.4659	0.4353	0.4328	0.2594	0.4102	0.8016	0.9743	0.9974	
0.0905	0.7605	0.7291	0.6192	0.4585	0.4317	0.4296	0.2743	0.4303	0.8089	0.9753	0.9975	
0.0955	0.7497	0.7134	0.6019	0.4514	0.4282	0.4264	0.2907	0.4515	0.8161	0.9762	0.9976	
0.1005	0.7384	0.6955	0.5839	0.4444	0.4248	0.4233	0.3094	0.4738	0.8232	0.9772	0.9977	
0.1055	0.7257	0.6743	0.5649	0.4375	0.4214	0.4203	0.3321	0.4975	0.8302	0.9781	0.9977	
0.1106	0.7092	0.6475	0.5450	0.4308	0.4181	0.4173	0.3612	0.5229	0.8372	0.9790	0.9978	
0.1156	0.6798	0.6112	0.5237	0.4242	0.4148	0.4144	0.4015	0.5501	0.8440	0.9799	0.9979	
0.1206	0.5683	0.5583	0.5011	0.4177	0.4117	0.4115	0.4614	0.5795	0.8508	0.9808	0.9980	
0.1256	0.1745	0.4730	0.4768	0.4113	0.4085	0.4087	0.5597	0.6114	0.8575	0.9816	0.9981	
0.1307	0.0004	0.3398	0.4505	0.4050	0.4054	0.4059	0.7266	0.6461	0.8642	0.9825	0.9982	
0.1357	0.0000	0.0637	0.4219	0.3988	0.4024	0.4032	0.9715	0.6840	0.8709	0.9834	0.9983	
0.1407	0.0000	0.0003	0.3908	0.3926	0.3993	0.4005	0.9999	0.7255	0.8775	0.9842	0.9984	
0.1457	0.0000	0.0000	0.3566	0.3865	0.3964	0.3978	1.0000	0.7710	0.8840	0.9850	0.9985	
0.1508	0.0000	0.0000	0.3189	0.3805	0.3934	0.3951	1.0000	0.8208	0.8906	0.9859	0.9985	
0.1558	0.0000	0.0000	0.2773	0.3745	0.3905	0.3925	1.0000	0.8751	0.8971	0.9867	0.9986	
0.1608	0.0000	0.0000	0.2280	0.3685	0.3876	0.3898	1.0000	0.9342	0.9035	0.9875	0.9987	
0.1658	0.0000	0.0000	0.1089	0.3626	0.3847	0.3872	1.0000	0.9864	0.9100	0.9883	0.9988	
0.1709	0.0000	0.0000	0.0030	0.3568	0.3818	0.3846	1.0000	0.9998	0.9164	0.9891	0.9989	
0.1759	0.0000	0.0000	0.0000	0.3509	0.3789	0.3820	1.0000	1.0000	0.9228	0.9899	0.9990	
0.1809	0.0000	0.0000	0.0000	0.3451	0.3761	0.3794	1.0000	1.0000	0.9292	0.9906	0.9990	
0.1859	0.0000	0.0000	0.0000	0.3393	0.3732	0.3768	1.0000	1.0000	0.9356	0.9914	0.9991	
0.1910	0.0000	0.0000	0.0000	0.3335	0.3703	0.3741	1.0000	1.0000	0.9420	0.9922	0.9992	
0.1960	0.0000	0.0000	0.0000	0.3278	0.3675	0.3715	1.0000	1.0000	0.9484	0.9929	0.9993	
0.2010	0.0000	0.0000	0.0000	0.3220	0.3646	0.3687	1.0000	1.0000	0.9547	0.9937	0.9994	
0.2060	0.0000	0.0000	0.0000	0.3163	0.3616	0.3659	1.0000	1.0000	0.9611	0.9945	0.9994	
0.2111	0.0000	0.0000	0.0000	0.3106	0.3585	0.3630	1.0000	1.0000	0.9675	0.9952	0.9995	
0.2161	0.0000	0.0000	0.0000	0.3049	0.3553	0.3597	1.0000	1.0000	0.9738	0.9959	0.9996	
0.2211	0.0000	0.0000	0.0000	0.2991	0.3516	0.3561	1.0000	1.0000	0.9802	0.9967	0.9997	
0.2261	0.0000	0.0000	0.0000	0.2922	0.3472	0.3515	1.0000	1.0000	0.9865	0.9974	0.9997	
0.2312	0.0000	0.0000	0.0000	0.2747	0.3407	0.3449	1.0000	1.0000	0.9928	0.9981	0.9998	
0.2362	0.0000	0.0000	0.0000	0.1809	0.3281	0.3326	1.0000	1.0000	0.9981	0.9988	0.9999	
0.2412	0.0000	0.0000	0.0000	0.0130	0.2875	0.2975	1.0000	1.0000	1.0000	0.9994	0.9999	
0.2462	0.0000	0.0000	0.0000	0.0000	0.1322	0.1571	1.0000	1.0000	1.0000	0.9999	1.0000	
0.2513	0.0000	0.0000	0.0000	0.0000	0.0028	0.0047	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2563	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2613	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2663	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2714	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2764	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2814	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2864	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.2965	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3065	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3166	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3266	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3317	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3417	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3467	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3518	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3568	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3618	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3668	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3719	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3819	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3869	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3920	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.3970	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4070	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4372	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4422	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4472	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4523	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4573	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4623	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4673	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4724	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4774	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4824	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4874	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4925	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.4975	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5226	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5276	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5327	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5377	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5427	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5477	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5578	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5628	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5678	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5729	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5879	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5930	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.5980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6281	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6382	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6482	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6533	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6583	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6633	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6683	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6734	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6784	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6884	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6935	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.6985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7085	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7186	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7236	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7286	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7337	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7387	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7437	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7487	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7538	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7638	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7739	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7839	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7889	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.7990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8291	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8342	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8593	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
0.8643	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000	
